2015-04-01T11:16:22.494+0300 W -        [initandlisten] Detected unclean shutdown - C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.lock is not empty.
2015-04-02T18:48:29.647+0300 I CONTROL  [initandlisten] MongoDB starting : pid=5152 port=27017 dbpath=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data 64-bit host=hjusein-pc
2015-04-02T18:48:29.647+0300 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2015-04-02T18:48:29.647+0300 I CONTROL  [initandlisten] db version v3.0.1
2015-04-02T18:48:29.647+0300 I CONTROL  [initandlisten] git version: 534b5a3f9d10f00cd27737fbcd951032248b5952
2015-04-02T18:48:29.647+0300 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1j-fips 15 Oct 2014
2015-04-02T18:48:29.647+0300 I CONTROL  [initandlisten] build info: windows sys.getwindowsversion(major=6, minor=1, build=7601, platform=2, service_pack='Service Pack 1') BOOST_LIB_VERSION=1_49
2015-04-02T18:48:29.647+0300 I CONTROL  [initandlisten] allocator: system
2015-04-02T18:48:29.647+0300 I CONTROL  [initandlisten] options: { config: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.conf", net: { bindIp: "127.0.0.1", port: 27017 }, storage: { dbPath: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data", journal: { enabled: true } }, systemLog: { destination: "file", logAppend: true, path: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.log", quiet: true } }
2015-04-02T18:48:29.666+0300 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-04-02T18:50:25.882+0300 I CONTROL  CTRL_CLOSE_EVENT signal
2015-04-02T18:50:25.882+0300 I CONTROL  [consoleTerminate] got CTRL_CLOSE_EVENT, will terminate after current cmd ends
2015-04-02T18:50:25.882+0300 I CONTROL  [consoleTerminate] now exiting
2015-04-02T18:50:25.882+0300 I NETWORK  [consoleTerminate] shutdown: going to close listening sockets...
2015-04-02T18:50:25.882+0300 I NETWORK  [consoleTerminate] closing listening socket: 440
2015-04-02T18:50:25.882+0300 I NETWORK  [consoleTerminate] shutdown: going to flush diaglog...
2015-04-02T18:50:25.882+0300 I NETWORK  [consoleTerminate] shutdown: going to close sockets...
2015-04-02T18:50:25.882+0300 I STORAGE  [consoleTerminate] shutdown: waiting for fs preallocator...
2015-04-02T18:50:25.882+0300 I STORAGE  [consoleTerminate] shutdown: final commit...
2015-04-02T18:50:25.886+0300 I JOURNAL  [consoleTerminate] journalCleanup...
2015-04-02T18:50:25.891+0300 I JOURNAL  [consoleTerminate] removeJournalFiles
2015-04-02T18:50:25.891+0300 I JOURNAL  [consoleTerminate] Terminating durability thread ...
2015-04-02T18:50:25.984+0300 I JOURNAL  [journal writer] Journal writer thread stopped
2015-04-02T18:50:25.984+0300 I JOURNAL  [durability] Durability thread stopped
2015-04-02T18:50:25.984+0300 I STORAGE  [consoleTerminate] shutdown: closing all files...
2015-04-02T18:50:25.987+0300 I STORAGE  [consoleTerminate] closeAllFiles() finished
2015-04-02T18:50:25.987+0300 I STORAGE  [consoleTerminate] shutdown: removing fs lock...
2015-04-02T18:50:25.987+0300 I CONTROL  [consoleTerminate] dbexit:  rc: 12
2015-04-02T18:50:35.049+0300 I CONTROL  ***** SERVER RESTARTED *****
2015-04-02T18:50:35.077+0300 I JOURNAL  [initandlisten] journal dir=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\journal
2015-04-02T18:50:35.077+0300 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-04-02T18:50:35.097+0300 I JOURNAL  [durability] Durability thread started
2015-04-02T18:50:35.097+0300 I JOURNAL  [journal writer] Journal writer thread started
2015-04-02T18:50:35.098+0300 I CONTROL  [initandlisten] MongoDB starting : pid=5056 port=27017 dbpath=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data 64-bit host=hjusein-pc
2015-04-02T18:50:35.098+0300 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2015-04-02T18:50:35.098+0300 I CONTROL  [initandlisten] db version v3.0.1
2015-04-02T18:50:35.099+0300 I CONTROL  [initandlisten] git version: 534b5a3f9d10f00cd27737fbcd951032248b5952
2015-04-02T18:50:35.099+0300 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1j-fips 15 Oct 2014
2015-04-02T18:50:35.099+0300 I CONTROL  [initandlisten] build info: windows sys.getwindowsversion(major=6, minor=1, build=7601, platform=2, service_pack='Service Pack 1') BOOST_LIB_VERSION=1_49
2015-04-02T18:50:35.099+0300 I CONTROL  [initandlisten] allocator: system
2015-04-02T18:50:35.099+0300 I CONTROL  [initandlisten] options: { config: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.conf", net: { bindIp: "127.0.0.1", port: 27017 }, storage: { dbPath: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data", journal: { enabled: true } }, systemLog: { destination: "file", logAppend: true, path: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.log", quiet: true } }
2015-04-02T18:50:35.112+0300 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-04-02T18:53:37.914+0300 I CONTROL  CTRL_CLOSE_EVENT signal
2015-04-02T18:53:37.914+0300 I CONTROL  [consoleTerminate] got CTRL_CLOSE_EVENT, will terminate after current cmd ends
2015-04-02T18:53:37.914+0300 I CONTROL  [consoleTerminate] now exiting
2015-04-02T18:53:37.914+0300 I NETWORK  [consoleTerminate] shutdown: going to close listening sockets...
2015-04-02T18:53:37.914+0300 I NETWORK  [consoleTerminate] closing listening socket: 440
2015-04-02T18:53:37.914+0300 I NETWORK  [consoleTerminate] shutdown: going to flush diaglog...
2015-04-02T18:53:37.914+0300 I NETWORK  [consoleTerminate] shutdown: going to close sockets...
2015-04-02T18:53:37.914+0300 I STORAGE  [consoleTerminate] shutdown: waiting for fs preallocator...
2015-04-02T18:53:37.914+0300 I STORAGE  [consoleTerminate] shutdown: final commit...
2015-04-02T18:53:37.919+0300 I JOURNAL  [consoleTerminate] journalCleanup...
2015-04-02T18:53:37.922+0300 I JOURNAL  [consoleTerminate] removeJournalFiles
2015-04-02T18:53:37.923+0300 I JOURNAL  [consoleTerminate] Terminating durability thread ...
2015-04-02T18:53:38.016+0300 I JOURNAL  [journal writer] Journal writer thread stopped
2015-04-02T18:53:38.016+0300 I JOURNAL  [durability] Durability thread stopped
2015-04-02T18:53:38.016+0300 I STORAGE  [consoleTerminate] shutdown: closing all files...
2015-04-02T18:53:38.021+0300 I STORAGE  [consoleTerminate] closeAllFiles() finished
2015-04-02T18:53:38.021+0300 I STORAGE  [consoleTerminate] shutdown: removing fs lock...
2015-04-02T18:53:38.021+0300 I CONTROL  [consoleTerminate] dbexit:  rc: 12
2015-04-02T18:53:42.155+0300 I CONTROL  ***** SERVER RESTARTED *****
2015-04-02T18:53:42.192+0300 I JOURNAL  [initandlisten] journal dir=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\journal
2015-04-02T18:53:42.192+0300 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-04-02T18:53:42.211+0300 I JOURNAL  [durability] Durability thread started
2015-04-02T18:53:42.212+0300 I JOURNAL  [journal writer] Journal writer thread started
2015-04-02T18:53:42.212+0300 I CONTROL  [initandlisten] MongoDB starting : pid=11796 port=27017 dbpath=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data 64-bit host=hjusein-pc
2015-04-02T18:53:42.212+0300 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2015-04-02T18:53:42.212+0300 I CONTROL  [initandlisten] db version v3.0.1
2015-04-02T18:53:42.212+0300 I CONTROL  [initandlisten] git version: 534b5a3f9d10f00cd27737fbcd951032248b5952
